,Total Vote,"Joseph R. Biden, Jr.",Donald J. Trump,pr,pd,rmargin,rabs,sFIPS
0,27769,7503,19838,0.7144,0.2702,0.44420000000000004,12335,01001
1,109681,24578,83544,0.7617,0.2241,0.5376000000000001,58966,01003
2,10518,4816,5622,0.5345,0.4579,0.0766,806,01005
3,9595,1986,7525,0.7843,0.207,0.5773,5539,01007
4,27588,2640,24711,0.8957,0.0957,0.8,22071,01009
5,4614,3446,1146,0.2484,0.747,-0.4986,-2300,01011
6,9487,3965,5458,0.5753,0.4179,0.15740000000000004,1493,01013
7,50982,15216,35101,0.6885,0.2985,0.39,19885,01015
8,15284,6365,8753,0.5727,0.4164,0.1563,2388,01017
9,12302,1624,10583,0.8603,0.132,0.7283,8959,01019
10,19310,3073,16085,0.833,0.1591,0.6738999999999999,13012,01021
11,7464,3127,4296,0.5756,0.4189,0.1567,1169,01023
12,13135,5755,7324,0.5576,0.4381,0.1195,1569,01025
13,6930,1267,5601,0.8082,0.1828,0.6254000000000001,4334,01027
14,7227,675,6484,0.8972,0.0934,0.8038,5809,01029
15,22274,5076,16899,0.7587,0.2279,0.5308,11823,01031
16,27887,8343,19203,0.6886,0.2992,0.38939999999999997,10860,01033
17,6441,2966,3442,0.5344,0.4605,0.07389999999999997,476,01035
18,5479,1796,3631,0.6627,0.3278,0.3349,1835,01037
19,17431,2721,14586,0.8368,0.1561,0.6807,11865,01039
20,6617,1700,4864,0.7351,0.2569,0.47819999999999996,3164,01041
21,41852,4478,36880,0.8812,0.107,0.7742,32402,01043
22,19739,5170,14303,0.7246,0.2619,0.4627,9133,01045
23,17865,12230,5524,0.3092,0.6846,-0.3754,-6706,01047
24,29355,4281,24767,0.8437,0.1458,0.6979,20486,01049
25,41028,10367,30164,0.7352,0.2527,0.4825,19797,01051
26,15909,4918,10869,0.6832,0.3091,0.37410000000000004,5951,01053
27,47727,11567,35528,0.7444,0.2424,0.502,23961,01055
28,8766,1395,7300,0.8328,0.1591,0.6737,5905,01057
29,12578,2086,10376,0.8249,0.1658,0.6591,8290,01059
30,12545,1595,10848,0.8647,0.1271,0.7376,9253,01061
31,4776,3884,875,0.1832,0.8134,-0.6302,-3009,01063
32,7899,4663,3192,0.4041,0.5903,-0.18620000000000003,-1471,01065
33,9298,2606,6607,0.7106,0.2803,0.4303,4001,01067
34,46175,12917,32618,0.7064,0.2798,0.42660000000000003,19701,01069
35,23636,3717,19670,0.8322,0.1573,0.6749,15953,01071
36,325846,181688,138843,0.4261,0.5576,-0.1315,-42845,01073
37,7193,978,6174,0.8583,0.136,0.7222999999999999,5196,01075
38,44340,11915,31721,0.7154,0.2687,0.44670000000000004,19806,01077
39,16032,3562,12322,0.7686,0.2222,0.5464,8760,01079
40,71452,27860,42221,0.5909,0.3899,0.20099999999999996,14361,01081
41,49233,13672,34640,0.7036,0.2777,0.4259,20968,01083
42,6835,4972,1836,0.2686,0.7274,-0.45880000000000004,-3136,01085
43,8721,7108,1541,0.1767,0.8149,-0.6382,-5567,01087
44,194770,87286,102780,0.5277,0.4482,0.07949999999999996,15494,01089
45,10900,5488,5343,0.4902,0.5035,-0.013299999999999923,-145,01091
46,13807,1463,12205,0.884,0.106,0.778,10742,01093
47,39655,5943,33191,0.837,0.1499,0.6870999999999999,27248,01095
48,183179,79474,101243,0.5527,0.4339,0.11879999999999996,21769,01097
49,10668,4455,6147,0.5762,0.4176,0.15860000000000002,1692,01099
50,99140,64529,33311,0.336,0.6509,-0.3149,-31218,01101
51,53723,13234,39664,0.7383,0.2463,0.492,26430,01103
52,5230,3860,1339,0.256,0.738,-0.482,-2521,01105
53,9668,4022,5594,0.5786,0.416,0.16260000000000002,1572,01107
54,13842,5636,8042,0.581,0.4072,0.17379999999999995,2406,01109
55,10837,2203,8559,0.7898,0.2033,0.5864999999999999,6356,01111
56,21328,11228,9864,0.4625,0.5264,-0.06389999999999996,-1364,01113
57,44441,7744,36166,0.8138,0.1743,0.6395,28422,01115
58,114957,33268,79700,0.6933,0.2894,0.40390000000000004,46432,01117
