sFIPS,wf,cost,bass,State,County_Name,RUCC_2013,20total,20margin,16total,16margin,totalchange,marginchange,2013 code_x,2013 code_y,2013 code,usr
01001,0,0,0,AL,Autauga County,2,27769,0.4442,24973,0.489969166700036,2796,-0.045769166700036064,3,3,3,2
01003,0,0,1,AL,Baldwin County,3,109681,0.5376000000000001,95215,0.571601113269968,14466,-0.034001113269967916,4,4,4,2
01005,0,0,0,AL,Barbour County,6,10518,0.0766,10469,0.055688222370809004,49,0.020911777629191,6,6,6,3
01007,0,0,0,AL,Bibb County,1,9595,0.5773,8819,0.5515364553804286,776,0.025763544619571418,2,2,2,2
01009,0,0,0,AL,Blount County,1,27588,0.8,25588,0.8090901985305612,2000,-0.009090198530561144,2,2,2,2
01011,0,0,0,AL,Bullock County,6,4614,-0.4986,4710,-0.5074309978768576,-96,0.00883099787685765,6,6,6,3
01013,0,0,0,AL,Butler County,6,9487,0.15740000000000004,8732,0.1345625286303252,755,0.022837471369674844,6,6,6,3
01015,0,0,0,AL,Calhoun County,3,50982,0.39,47864,0.4099740932642487,3118,-0.01997409326424865,4,4,4,2
01017,0,0,0,AL,Chambers County,6,15284,0.1563,13900,0.1481294964028777,1384,0.008170503597122292,5,5,5,3
01019,0,0,0,AL,Cherokee County,6,12302,0.7283,10733,0.6900214292369329,1569,0.038278570763067066,6,6,6,3
01021,0,0,0,AL,Chilton County,1,19310,0.6738999999999999,18369,0.6625292612553759,941,0.01137073874462402,2,2,2,2
01023,0,0,0,AL,Choctaw County,9,7464,0.1567,7292,0.13672517827756447,172,0.01997482172243553,6,6,6,3
01025,0,0,0,AL,Clarke County,7,13135,0.1195,13031,0.10674545315018036,104,0.012754546849819635,6,6,6,3
01027,0,0,0,AL,Clay County,9,6930,0.6254000000000001,6624,0.605072463768116,306,0.020327536231884102,6,6,6,3
01029,0,0,0,AL,Cleburne County,8,7227,0.8038,6593,0.7705141817078719,634,0.03328581829212807,6,6,6,3
01031,0,0,0,AL,Coffee County,4,22274,0.5308,20767,0.5611787932777965,1507,-0.030378793277796468,5,5,5,3
01033,0,0,0,AL,Colbert County,3,27887,0.3894,24915,0.3786474011639575,2972,0.010752598836042515,4,4,4,2
01035,0,0,0,AL,Conecuh County,7,6441,0.07389999999999998,6585,0.051632498101746416,-144,0.022267501898253564,6,6,6,3
01037,0,0,0,AL,Coosa County,8,5479,0.3349,5252,0.30445544554455445,227,0.030444554455445524,5,5,5,3
01039,0,0,0,AL,Covington County,6,17431,0.6807,15940,0.6825595984943539,1491,-0.001859598494353909,6,6,6,3
01041,0,0,0,AL,Crenshaw County,8,6617,0.4782,6267,0.4546034785383756,350,0.023596521461624442,6,6,6,3
01043,0,0,0,AL,Cullman County,4,41852,0.7742,37873,0.7707601721543051,3979,0.003439827845694854,5,5,5,3
01045,0,0,0,AL,Dale County,4,19739,0.4627,18749,0.5010933916475546,990,-0.03839339164755462,5,5,5,3
01047,0,0,0,AL,Dallas County,4,17865,-0.3754,18792,-0.3750000000000001,-927,-0.000399999999999956,5,5,5,3
01049,0,0,0,AL,DeKalb County,6,29355,0.6979,25826,0.6885696584836987,3529,0.0093303415163013,6,6,6,3
01051,0,0,1,AL,Elmore County,2,41028,0.4825,37260,0.5150563607085346,3768,-0.03255636070853457,3,3,3,2
01053,0,0,0,AL,Escambia County,6,15909,0.3741,14845,0.3590434489727181,1064,0.015056551027281873,6,6,6,3
01055,0,0,0,AL,Etowah County,3,47727,0.502,44164,0.4961280681097726,3563,0.005871931890227389,4,4,4,2
01057,0,0,0,AL,Fayette County,6,8766,0.6737,8249,0.6485634622378471,517,0.02513653776215297,6,6,6,3
01059,0,0,0,AL,Franklin County,6,12578,0.6591,12040,0.6037375415282392,538,0.0553624584717608,6,6,6,3
01061,0,0,0,AL,Geneva County,3,12545,0.7376,11758,0.7202755570675284,787,0.017324442932471595,4,4,4,2
01063,0,0,0,AL,Greene County,8,4776,-0.6302,4880,-0.6506147540983607,-104,0.020414754098360688,6,6,6,3
01065,0,0,0,AL,Hale County,3,7899,-0.1862000000000001,8040,-0.1992537313432836,-141,0.013053731343283498,4,4,4,2
01067,0,0,0,AL,Henry County,3,9298,0.4303,8072,0.4137760158572844,1226,0.01652398414271561,4,4,4,2
01069,0,0,0,AL,Houston County,3,46175,0.4266,42639,0.4705551255892492,3536,-0.04395512558924925,4,4,4,2
01071,0,0,0,AL,Jackson County,6,23636,0.6749,20984,0.6194719786504004,2652,0.05542802134959968,5,5,5,3
01073,0,0,0,AL,Jefferson County,1,325846,-0.1315,304191,-0.07266815915000767,21655,-0.05883184084999232,1,1,1,1
01075,0,0,0,AL,Lamar County,8,7193,0.7222999999999999,6966,0.6871949468848694,227,0.03510505311513057,6,6,6,3
01077,0,0,0,AL,Lauderdale County,3,44340,0.4467,39525,0.45406704617330795,4815,-0.007367046173308024,4,4,4,2
01079,0,0,0,AL,Lawrence County,3,16032,0.5464,14829,0.4859397127250658,1203,0.06046028727493424,4,4,4,2
01081,0,0,0,AL,Lee County,3,71452,0.201,59191,0.2261661401226537,12261,-0.025166140122653724,4,4,4,2
01083,0,0,0,AL,Limestone County,2,49233,0.4259,40294,0.4863999602918549,8939,-0.06049996029185484,3,3,3,2
01085,0,0,0,AL,Lowndes County,2,6835,-0.4588,6684,-0.4685816876122082,151,0.00978168761220827,3,3,3,2
01087,0,0,0,AL,Macon County,6,8721,-0.6382,9140,-0.6712253829321663,-419,0.03302538293216628,6,6,6,3
01089,1,1,1,AL,Madison County,2,194770,0.07949999999999996,163389,0.1634014529741904,31381,-0.08390145297419044,3,3,3,2
01091,0,0,0,AL,Marengo County,7,10900,-0.013299999999999923,10994,-0.034746225213752924,-94,0.021446225213753004,6,6,6,3
01093,0,0,0,AL,Marion County,7,13807,0.778,12984,0.7580098582871226,823,0.019990141712877385,6,6,6,3
01095,0,0,0,AL,Marshall County,4,39655,0.6870999999999999,35316,0.6885264469362329,4339,-0.0014264469362329502,5,5,5,3
01097,1,1,0,AL,Mobile County,2,183179,0.11879999999999995,172737,0.1327451559306923,10442,-0.013945155930692356,3,3,3,2
01099,0,0,0,AL,Monroe County,7,10668,0.15860000000000002,10271,0.14243987927173596,397,0.01616012072826406,6,6,6,3
01101,1,1,0,AL,Montgomery County,2,99140,-0.3149,95878,-0.25984063080164377,3262,-0.05505936919835625,3,3,3,2
01103,0,0,0,AL,Morgan County,3,53723,0.4920000000000001,50644,0.5179685648842903,3079,-0.025968564884290283,4,4,4,2
01105,0,0,0,AL,Perry County,8,5230,-0.482,5278,-0.4579386131110269,-48,-0.024061386888973132,6,6,6,3
01107,0,0,0,AL,Pickens County,3,9668,0.16260000000000002,9542,0.15552295116327808,126,0.007077048836721944,4,4,4,2
01109,0,0,0,AL,Pike County,6,13842,0.17379999999999995,13168,0.20025820170109349,674,-0.02645820170109353,5,5,5,3
01111,0,0,0,AL,Randolph County,6,10837,0.5864999999999999,10187,0.5314616668302738,650,0.05503833316972606,6,6,6,3
01113,0,0,0,AL,Russell County,2,21328,-0.06389999999999996,19256,-0.01916285832987119,2072,-0.044737141670128766,3,3,3,2
01115,0,0,0,AL,St. Clair County,1,44441,0.6395,38400,0.6786979166666667,6041,-0.03919791666666672,2,2,2,2
01117,1,1,1,AL,Shelby County,1,114957,0.4039,101254,0.4942323266241333,13703,-0.09033232662413332,2,2,2,2
01119,0,0,0,AL,Sumter County,8,6291,-0.4848,6411,-0.4936827328029949,-120,0.008882732802994897,6,6,6,3
01121,0,0,0,AL,Talladega County,4,35662,0.25510000000000005,33407,0.25422815577573565,2255,0.0008718442242643952,5,5,5,3
01123,0,0,0,AL,Tallapoosa County,6,20992,0.4337,19486,0.41440008211023294,1506,0.01929991788976704,6,6,6,3
01125,0,0,0,AL,Tuscaloosa County,3,90169,0.14809999999999995,82700,0.1929987908101572,7469,-0.04489879081015724,4,4,4,2
01127,0,0,0,AL,Walker County,1,31170,0.6791,29472,0.6707722584147666,1698,0.008327741585233417,2,2,2,2
01129,0,0,0,AL,Washington County,8,8876,0.4851,8533,0.4298605414273995,343,0.055239458572600486,6,6,6,3
01131,0,0,0,AL,Wilcox County,9,5903,-0.3753,6123,-0.4241384942021885,-220,0.048838494202188436,6,6,6,3
01133,0,0,0,AL,Winston County,6,11284,0.8171999999999999,10313,0.8102395035392224,971,0.0069604964607775655,6,6,6,3
04001,0,0,0,AZ,Apache County,6,35271,-0.33609999999999995,27661,-0.31969198510538305,7610,-0.01640801489461691,6,6,6,3
04003,0,0,0,AZ,Cochise County,3,60667,0.1949,50015,0.21277616714985506,10652,-0.017876167149855043,4,4,4,2
04005,1,0,0,AZ,Coconino County,3,73631,-0.2396,59784,-0.18894687541817207,13847,-0.050653124581827885,4,4,4,2
04007,0,0,0,AZ,Gila County,4,27735,0.34019999999999995,22515,0.3188540972684877,5220,0.021345902731512267,5,5,5,3
04009,0,0,0,AZ,Graham County,7,15029,0.4467999999999999,12281,0.3846592297044215,2748,0.062140770295578414,5,5,5,3
04011,0,0,0,AZ,Greenlee County,7,3696,0.3385,3300,0.24242424242424246,396,0.0960757575757576,6,6,6,3
04012,0,0,0,AZ,La Paz County,6,7472,0.3871,5951,0.4079986556881197,1521,-0.02089865568811966,6,6,6,3
04013,1,1,1,AZ,Maricopa County,1,2076032,-0.02169999999999994,1567834,0.02835376704421516,508198,-0.0500537670442151,1,1,1,1
04015,0,0,0,AZ,Mohave County,3,104881,0.5121,79943,0.5107013747294948,24938,0.0013986252705051605,4,4,4,2
04017,0,0,0,AZ,Navajo County,4,51928,0.08229999999999997,40294,0.10219883853675488,11634,-0.019898838536754903,5,5,5,3
04019,1,1,0,AZ,Pima County,2,522136,-0.1862,421640,-0.13573901906839958,100496,-0.05046098093160042,3,3,3,2
04021,0,0,0,AZ,Pinal County,1,185511,0.17240000000000005,129546,0.19241813718679085,55965,-0.0200181371867908,2,2,2,2
04023,0,0,0,AZ,Santa Cruz County,4,19583,-0.3547,16433,-0.4742286861802471,3150,0.11952868618024708,5,5,5,3
04025,1,1,0,AZ,Yavapai County,3,143639,0.2919,114450,0.3122761031017912,29189,-0.020376103101791217,4,4,4,2
04027,0,0,0,AZ,Yuma County,3,70069,0.06169999999999998,53010,0.010564044519901894,17059,0.05113595548009808,4,4,4,2
05001,0,0,0,AR,Arkansas County,6,6292,0.3951000000000001,6212,0.3037669027688345,80,0.09133309723116563,6,6,6,3
05003,0,0,0,AR,Ashley County,7,7926,0.4319,8083,0.3624891748113324,-157,0.06941082518866759,6,6,6,3
