,sFIPS,wf,cost,bass
0,01001,0,0,0
1,01003,0,0,1
2,01005,0,0,0
3,01007,0,0,0
4,01009,0,0,0
5,01011,0,0,0
6,01013,0,0,0
7,01015,0,0,0
8,01017,0,0,0
9,01019,0,0,0
10,01021,0,0,0
11,01023,0,0,0
12,01025,0,0,0
13,01027,0,0,0
14,01029,0,0,0
15,01031,0,0,0
16,01033,0,0,0
17,01035,0,0,0
18,01037,0,0,0
19,01039,0,0,0
20,01041,0,0,0
21,01043,0,0,0
22,01045,0,0,0
23,01047,0,0,0
24,01049,0,0,0
25,01051,0,0,1
26,01053,0,0,0
27,01055,0,0,0
28,01057,0,0,0
29,01059,0,0,0
30,01061,0,0,0
31,01063,0,0,0
32,01065,0,0,0
33,01067,0,0,0
34,01069,0,0,0
35,01071,0,0,0
36,01073,0,0,0
37,01075,0,0,0
38,01077,0,0,0
39,01079,0,0,0
40,01081,0,0,0
41,01083,0,0,0
42,01085,0,0,0
43,01087,0,0,0
44,01089,1,1,1
45,01091,0,0,0
46,01093,0,0,0
47,01095,0,0,0
48,01097,1,1,0
49,01099,0,0,0
50,01101,1,1,0
51,01103,0,0,0
52,01105,0,0,0
53,01107,0,0,0
54,01109,0,0,0
55,01111,0,0,0
56,01113,0,0,0
57,01115,0,0,0
58,01117,1,1,1
59,01119,0,0,0
60,01121,0,0,0
61,01123,0,0,0
62,01125,0,0,0
63,01127,0,0,0
64,01129,0,0,0
65,01131,0,0,0
66,01133,0,0,0
67,02701,0,0,0
68,02702,0,0,0
69,02703,0,0,0
70,02704,0,0,0
71,02705,0,0,0
72,02706,0,0,0
73,02707,0,0,0
74,02708,0,0,0
75,02709,0,0,0
76,02710,0,0,0
77,02711,0,0,0
78,02712,0,0,0
79,02713,0,0,0
80,02714,0,0,0
81,02715,0,0,0
82,02716,0,0,0
83,02717,0,0,0
84,02718,0,0,0
85,02719,0,0,0
86,02720,0,0,0
87,02721,0,0,0
88,02722,0,0,0
89,02723,0,0,0
90,02724,0,0,0
91,02725,0,0,0
92,02726,0,0,0
93,02727,0,0,0
94,02728,0,0,0
95,02729,0,0,0
96,02730,0,0,0
97,02731,0,0,0
98,02732,0,0,0
99,02733,0,0,0
100,02734,0,0,0
101,02735,0,0,0
102,02736,0,0,0
103,02737,0,0,0
104,02738,0,0,0
105,02739,0,0,0
106,02740,0,0,0
107,04001,0,0,0
108,04003,0,0,0
109,04005,1,0,0
110,04007,0,0,0
111,04009,0,0,0
112,04011,0,0,0
113,04012,0,0,0
114,04013,1,1,1
115,04015,0,0,0
116,04017,0,0,0
117,04019,1,1,0
118,04021,0,0,0
119,04023,0,0,0
120,04025,1,1,0
121,04027,0,0,0
122,05001,0,0,0
123,05003,0,0,0
124,05005,0,0,0
125,05007,0,0,1
126,05009,0,0,0
127,05011,0,0,0
128,05013,0,0,0
129,05015,0,0,0
130,05017,0,0,0
131,05019,0,0,0
132,05021,0,0,0
133,05023,0,0,0
134,05025,0,0,0
135,05027,0,0,0
136,05029,0,0,0
137,05031,0,0,0
138,05033,0,0,0
139,05035,0,0,0
140,05037,0,0,0
141,05039,0,0,0
142,05041,0,0,0
143,05043,0,0,0
144,05045,0,0,0
145,05047,0,0,0
146,05049,0,0,0
147,05051,0,0,0
148,05053,0,0,0
149,05055,0,0,0
150,05057,0,0,0
151,05059,0,0,0
152,05061,0,0,0
153,05063,0,0,0
154,05065,0,0,0
155,05067,0,0,0
156,05069,0,0,0
157,05071,0,0,0
158,05073,0,0,0
159,05075,0,0,0
160,05077,0,0,0
161,05079,0,0,0
162,05081,0,0,0
163,05083,0,0,0
164,05085,0,0,0
165,05087,0,0,0
166,05089,0,0,0
167,05091,0,0,0
168,05093,0,0,0
169,05095,0,0,0
170,05097,0,0,0
171,05099,0,0,0
172,05101,0,0,0
173,05103,0,0,0
174,05105,0,0,0
175,05107,0,0,0
176,05109,0,0,0
177,05111,0,0,0
178,05113,0,0,0
179,05115,0,0,0
180,05117,0,0,0
181,05119,1,0,0
182,05121,0,0,0
183,05123,0,0,0
184,05125,0,0,1
185,05127,0,0,0
186,05129,0,0,0
187,05131,0,0,0
188,05133,0,0,0
189,05135,0,0,0
190,05137,0,0,0
191,05139,0,0,0
192,05141,0,0,0
193,05143,1,0,0
194,05145,0,0,0
195,05147,0,0,0
196,05149,0,0,0
197,06001,1,1,0
198,06003,0,0,0
199,06005,0,0,0
200,06007,0,1,0
201,06009,0,0,0
202,06011,0,0,0
203,06013,1,1,0
204,06015,0,0,0
205,06017,0,0,0
206,06019,1,1,0
207,06021,0,0,0
208,06023,0,1,0
209,06025,0,1,0
210,06027,0,0,0
211,06029,0,1,0
212,06031,0,0,0
213,06033,0,0,0
214,06035,0,0,0
215,06037,1,1,0
216,06039,0,0,0
217,06041,1,1,0
218,06043,0,0,0
219,06045,0,1,0
220,06047,0,1,0
221,06049,0,0,0
222,06051,0,0,0
223,06053,1,1,0
224,06055,0,0,0
225,06057,0,0,0
226,06059,1,1,0
227,06061,0,0,1
228,06063,0,0,0
229,06065,1,1,0
230,06067,1,1,0
231,06069,0,0,0
232,06071,0,1,1
233,06073,1,1,0
234,06075,1,1,0
235,06077,0,1,1
236,06079,1,1,0
237,06081,1,1,0
238,06083,1,1,0
239,06085,1,1,1
240,06087,1,1,0
241,06089,0,1,0
242,06091,0,0,0
243,06093,0,0,0
244,06095,0,1,0
245,06097,1,1,0
246,06099,0,1,0
247,06101,0,0,0
248,06103,0,0,0
249,06105,0,0,0
250,06107,0,1,0
251,06109,0,0,0
252,06111,1,1,0
253,06113,1,1,0
254,06115,0,0,0
255,08001,0,0,0
256,08003,0,0,0
257,08005,1,0,0
258,08007,0,0,0
259,08009,0,0,0
260,08011,0,0,0
261,08013,1,0,0
262,08014,1,1,1
263,08015,0,0,0
264,08017,0,0,0
265,08019,0,0,0
266,08021,0,0,0
267,08023,0,0,0
268,08025,0,0,0
269,08027,0,0,0
270,08029,0,0,0
271,08031,1,1,1
272,08033,0,0,0
273,08035,1,1,1
274,08037,0,0,0
275,08039,0,1,0
276,08041,1,1,1
277,08043,0,0,0
278,08045,0,1,0
279,08047,0,0,0
280,08049,0,0,0
281,08051,0,0,0
282,08053,0,0,0
283,08055,0,0,0
284,08057,0,0,0
285,08059,1,1,0
286,08061,0,0,0
287,08063,0,0,0
288,08065,0,0,0
289,08067,0,0,0
290,08069,1,1,0
291,08071,0,0,0
292,08073,0,0,0
293,08075,0,0,0
294,08077,0,0,1
295,08079,0,0,0
296,08081,0,0,0
297,08083,0,0,0
298,08085,0,0,0
299,08087,0,0,0
300,08089,0,0,0
301,08091,0,0,0
302,08093,0,0,0
303,08095,0,0,0
304,08097,1,0,0
305,08099,0,0,0
306,08101,0,0,0
307,08103,0,0,0
308,08105,0,0,0
309,08107,0,0,0
310,08109,0,0,0
311,08111,0,0,0
312,08113,0,0,0
313,08115,0,0,0
314,08117,1,0,0
315,08119,0,0,0
316,08121,0,0,0
317,08123,0,0,0
318,08125,0,0,0
319,09001,1,1,1
320,09003,1,1,1
321,09005,0,1,0
322,09007,0,0,0
323,09009,1,1,0
324,09011,0,1,0
325,09013,0,0,0
326,09015,0,0,0
327,10001,0,0,0
328,10003,0,1,1
329,10005,0,0,0
330,11001,1,1,0
331,12001,0,0,1
332,12003,0,0,0
333,12005,0,0,0
334,12007,0,0,0
335,12009,0,0,1
336,12011,1,1,1
337,12013,0,0,0
338,12015,0,0,0
339,12017,0,0,0
340,12019,0,0,0
341,12021,1,1,0
342,12023,0,0,0
343,12027,0,0,0
344,12029,0,0,0
345,12031,1,1,0
346,12033,0,0,0
347,12035,0,0,0
348,12037,0,0,0
349,12039,0,0,0
350,12041,0,0,0
351,12043,0,0,0
352,12045,0,0,0
353,12047,0,0,0
354,12049,0,0,0
355,12051,0,0,0
356,12053,0,0,0
357,12055,0,0,0
